ID;Edad;Ingresos_Anuales;Historial_Crediticio;Monto_del_Prestamo;Plazo_del_Prestamo;Tasa_de_Interes;Deuda_Existente;Numero_de_Dependientes;Estado_Laboral;Proposito_del_Prestamo;Estado_Civil;Nivel_de_Educacion;Score_de_Riesgo_Interno;Resultado_del_Riesgo;Periodo
1;31;$78,719.00;Bueno;$35,098.00;30;11.8%;$10,438.00;3;Autónomo;Otros;Divorciado;Maestría;507;1;2022-06
2;29;$43,660.00;Regular;$43,304.00;34;7.4%;$1,581.00;0;Desempleado;Emergencia;Divorciado;Maestría;804;1;2022-05
3;58;$56,278.00;Malo;$12,629.00;9;10.9%;$24,983.00;5;Desempleado;Auto;Soltero;Preparatoria;629;1;2022-04
4;65;$36,677.00;Bueno;$6,658.00;10;5.1%;$45,969.00;0;Empleado;Vivienda;Divorciado;Maestría;592;1;2022-11
5;33;$52,069.00;Regular;$6,699.00;10;11.7%;$44,528.00;5;Desempleado;Vivienda;Casado;Preparatoria;530;1;2022-06
6;42;$64,925.00;Malo;$24,673.00;32;13.2%;$29,570.00;3;Empleado;Educación;Soltero;Maestría;536;1;2022-09
7;61;$46,418.00;Regular;$10,573.00;19;14.5%;$23,758.00;4;Desempleado;Vivienda;Casado;Maestría;840;1;2022-10
8;24;$58,818.00;Malo;$2,776.00;36;9.6%;$7,773.00;2;Desempleado;Auto;Divorciado;Doctorado;589;1;2022-10
9;32;$79,050.00;Bueno;$24,591.00;25;14.0%;$11,007.00;5;Desempleado;Emergencia;Soltero;Maestría;838;1;2022-02
10;36;$79,442.00;Malo;$13,045.00;12;9.8%;$29,239.00;4;Empleado;Educación;Soltero;Doctorado;791;1;2022-09
11;20;$67,788.00;Malo;$42,318.00;6;11.4%;$43,552.00;2;Desempleado;Emergencia;Casado;Universidad;537;1;2022-07
12;36;$91,182.00;Bueno;$27,888.00;34;11.9%;$33,807.00;5;Autónomo;Auto;Casado;Preparatoria;785;1;2022-06
13;31;$68,504.00;Regular;$18,086.00;7;8.6%;$36,892.00;4;Autónomo;Emergencia;Soltero;Universidad;524;1;2022-10
14;26;$94,218.00;Malo;$35,383.00;35;8.2%;$19,198.00;2;Desempleado;Auto;Divorciado;Preparatoria;684;1;2022-03
15;24;$67,444.00;Regular;$32,724.00;23;12.5%;$27,294.00;5;Autónomo;Auto;Divorciado;Doctorado;759;1;2022-06
16;65;$26,308.00;Bueno;$41,018.00;10;8.2%;$20,744.00;4;Autónomo;Emergencia;Divorciado;Preparatoria;702;1;2022-02
17;21;$96,073.00;Bueno;$12,577.00;22;8.8%;$17,736.00;3;Empleado;Auto;Soltero;Doctorado;769;1;2022-12
18;30;$30,158.00;Malo;$39,950.00;26;12.5%;$10,210.00;4;Desempleado;Emergencia;Casado;Universidad;553;1;2022-03
19;50;$62,892.00;Malo;$36,166.00;11;11.9%;$37,812.00;4;Autónomo;Educación;Divorciado;Doctorado;710;1;2022-12
20;57;$52,240.00;Malo;$47,994.00;17;9.8%;$26,803.00;0;Desempleado;Educación;Soltero;Preparatoria;840;1;2022-08
21;40;$85,719.00;Bueno;$39,223.00;9;13.3%;$36,571.00;5;Empleado;Emergencia;Soltero;Preparatoria;662;1;2022-10
22;54;$85,846.00;Malo;$3,170.00;7;5.2%;$30,982.00;4;Desempleado;Educación;Casado;Maestría;616;1;2022-03
23;37;$28,835.00;Bueno;$1,798.00;16;8.6%;$7,783.00;3;Autónomo;Otros;Soltero;Universidad;727;1;2022-08
24;31;$78,300.00;Regular;$49,899.00;23;6.4%;$39,644.00;5;Desempleado;Auto;Soltero;Doctorado;753;1;2022-11
25;45;$38,400.00;Malo;$49,765.00;35;10.1%;$24,907.00;5;Desempleado;Otros;Soltero;Maestría;619;1;2022-01
26;46;$33,293.00;Malo;$33,547.00;29;13.0%;$35,891.00;0;Autónomo;Auto;Soltero;Maestría;796;1;2022-12
27;25;$86,309.00;Regular;$32,120.00;19;8.6%;$30,678.00;3;Autónomo;Auto;Divorciado;Maestría;610;1;2022-05
28;58;$59,918.00;Bueno;$28,850.00;11;6.5%;$32,311.00;4;Autónomo;Otros;Soltero;Preparatoria;627;1;2022-11
29;60;$74,203.00;Bueno;$23,978.00;34;9.5%;$13,612.00;2;Autónomo;Auto;Divorciado;Maestría;640;1;2022-09
30;58;$40,023.00;Bueno;$23,650.00;19;8.7%;$28,216.00;5;Empleado;Vivienda;Divorciado;Doctorado;570;1;2022-06
31;32;$53,714.00;Regular;$13,287.00;10;6.1%;$18,695.00;2;Autónomo;Educación;Divorciado;Doctorado;668;1;2022-04
32;23;$66,921.00;Bueno;$30,948.00;34;8.3%;$18,643.00;0;Desempleado;Otros;Soltero;Doctorado;815;1;2022-11
33;37;$57,890.00;Bueno;$37,111.00;29;7.0%;$43,432.00;3;Autónomo;Otros;Casado;Maestría;561;1;2022-01
34;30;$55,031.00;Bueno;$46,098.00;8;13.8%;$31,961.00;5;Desempleado;Educación;Casado;Doctorado;552;1;2022-06
35;35;$76,314.00;Malo;$44,201.00;10;12.5%;$7,112.00;2;Empleado;Otros;Casado;Preparatoria;709;1;2022-08
36;28;$43,834.00;Malo;$49,929.00;9;13.3%;$33,132.00;2;Autónomo;Vivienda;Divorciado;Universidad;735;1;2022-03
37;61;$97,735.00;Malo;$41,806.00;22;5.3%;$18,580.00;3;Desempleado;Auto;Divorciado;Doctorado;764;1;2022-12
38;62;$50,667.00;Regular;$41,693.00;12;10.1%;$18,356.00;3;Autónomo;Otros;Divorciado;Preparatoria;535;1;2022-08
39;30;$52,300.00;Regular;$18,716.00;30;10.8%;$45,200.00;0;Autónomo;Auto;Soltero;Universidad;552;1;2022-09
40;53;$85,221.00;Malo;$13,776.00;20;14.5%;$10,161.00;1;Empleado;Auto;Soltero;Doctorado;811;1;2022-10
41;34;$69,264.00;Bueno;$22,238.00;24;9.5%;$12,126.00;0;Autónomo;Educación;Casado;Universidad;757;1;2022-08
42;39;$20,106.00;Bueno;$45,314.00;10;9.9%;$19,703.00;0;Empleado;Otros;Divorciado;Maestría;561;1;2022-01
43;50;$35,490.00;Malo;$35,729.00;14;13.0%;$46,092.00;4;Desempleado;Auto;Soltero;Preparatoria;828;1;2022-09
44;21;$43,605.00;Malo;$32,674.00;21;5.0%;$36,447.00;1;Autónomo;Otros;Soltero;Doctorado;530;1;2022-09
45;53;$88,435.00;Bueno;$44,904.00;36;14.3%;$2,620.00;0;Desempleado;Auto;Soltero;Preparatoria;765;1;2022-05
46;41;$86,524.00;Bueno;$21,290.00;30;5.2%;$41,534.00;3;Desempleado;Emergencia;Divorciado;Maestría;842;1;2022-07
47;45;$53,338.00;Regular;$17,421.00;22;12.4%;$29,614.00;0;Empleado;Emergencia;Casado;Preparatoria;816;1;2022-06
48;33;$80,281.00;Malo;$37,707.00;22;10.5%;$45,690.00;3;Empleado;Auto;Casado;Maestría;565;1;2022-07
49;45;$52,909.00;Regular;$48,310.00;10;7.6%;$16,951.00;4;Desempleado;Vivienda;Casado;Preparatoria;783;1;2022-11
50;40;$42,140.00;Bueno;$6,025.00;12;9.2%;$49,947.00;5;Desempleado;Auto;Divorciado;Universidad;536;1;2022-02
51;25;$53,005.00;Bueno;$48,539.00;21;5.3%;$39,116.00;2;Empleado;Otros;Divorciado;Preparatoria;659;1;2022-11
52;24;$94,242.00;Malo;$27,618.00;7;8.6%;$19,499.00;0;Desempleado;Educación;Divorciado;Doctorado;842;1;2022-06
53;56;$75,814.00;Regular;$22,380.00;29;10.4%;$19,597.00;4;Autónomo;Auto;Casado;Maestría;807;1;2022-12
54;58;$95,001.00;Bueno;$13,509.00;18;8.9%;$173.00;5;Empleado;Educación;Casado;Maestría;600;1;2022-01
55;50;$87,392.00;Regular;$24,075.00;27;9.6%;$17,348.00;5;Empleado;Emergencia;Soltero;Doctorado;838;1;2022-08
56;61;$82,385.00;Malo;$48,602.00;20;8.1%;$15,469.00;3;Desempleado;Educación;Casado;Maestría;682;1;2022-02
57;52;$84,891.00;Bueno;$12,673.00;30;10.4%;$3,678.00;5;Desempleado;Auto;Divorciado;Doctorado;798;1;2022-02
58;31;$72,878.00;Bueno;$17,246.00;9;11.4%;$12,189.00;5;Desempleado;Emergencia;Soltero;Universidad;799;1;2022-01
59;45;$35,748.00;Bueno;$15,080.00;8;13.6%;$40,709.00;4;Autónomo;Educación;Divorciado;Doctorado;576;1;2022-07
60;34;$74,368.00;Malo;$10,688.00;14;7.9%;$20,015.00;3;Empleado;Emergencia;Divorciado;Universidad;656;1;2022-08
61;36;$45,270.00;Regular;$25,182.00;33;5.1%;$1,881.00;4;Empleado;Otros;Soltero;Universidad;705;1;2022-10
